Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
Globalstar M028,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,450,7/25/1999,10,435,,,
Globalstar M029,USA,Commercial,Communications,LEO,0,900,1413,0.0341,52,114.1,450,11/22/1999,10,436,,,
Globalstar M031,USA,Commercial,Communications,LEO,0,1477,1478,6.37E-05,52,114.1,450,10/18/1999,10,437,,,
Globalstar FM37,USA,Commercial,Communications,LEO,0,1411,1417,0.000385,52,114.1,450,3/15/1999,10,438,,,
Globalstar M039,USA,Commercial,Communications,LEO,0,1411,1416,0.000321,52,114.1,450,11/22/1999,10,439,,,
Globalstar M040,USA,Commercial,Communications,LEO,0,1415,1416,6.42E-05,52,114.1,450,2/9/1999,10,440,,,
Globalstar M056,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,450,10/18/1999,10,441,,,
Globalstar M059,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,52,114.1,450,10/18/1999,10,442,,,
Globalstar M063,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,450,2/8/2000,10,443,,,
Globalstar M065,USA,Commercial,Communications,LEO,0,1411,1416,0.000321,52,114.1,450,5/29/2007,10,444,,,
Globalstar M066,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,450,10/20/2007,10,445,,,
Globalstar M067,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,450,10/20/2007,10,446,,,
Globalstar M068,USA,Commercial,Communications,LEO,0,1411,1414,0.000193,52,114,450,10/20/2007,10,447,,,
Globalstar M069,USA,Commercial,Communications,LEO,0,1411,1416,0.000321,52,114.1,450,5/29/2007,10,448,,,
Globalstar M070,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,450,10/20/2007,10,449,,,
Globalstar M071,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,450,5/29/2007,10,450,,,
Globalstar M072,USA,Commercial,Communications,LEO,0,1412,1416,0.000257,52,114.1,450,5/29/2007,10,451,,,
TacSat 4,USA,Military,Technology Development,Elliptical,0,658,11836,0.443,63.64,235.16,450,9/27/2011,,452,,,
OCO 2,USA,Government,Earth Observation,LEO,0,701,704,0.000212,98.2,98.83,454,7/2/2014,2,453,,,
Interstellar Boundary Explorer,USA,Government,Space Science,Elliptical,0,62200,268679,0.601,15.2,11520,462,10/19/2008,,454,,,
SWARM-A,ESA,Government,Earth Observation,LEO,0,473,476,0.000219,87.3,93.9,468,11/22/2013,4,455,,,
SWARM-B,ESA,Government,Earth Observation,LEO,0,473,476,0.000219,87.3,93.9,468,11/22/2013,4,456,,,
SWARM-C,ESA,Government,Earth Observation,LEO,0,486,496,0.000729,87.5,94,468,11/22/2013,4,457,,,
HJ-1A,China,Government,Earth Observation,LEO,0,628,665,0.00264,97.8,97.7,470,9/5/2008,3,458,,,
HJ-1B,China,Government,Earth Observation,LEO,0,621,673,0.00371,97.8,97.7,470,9/5/2008,3,459,,,
"Gravity Recovery and Climate Experiment (Grace 1, ""Tom and Jerry"")",Germany/USA,Civil,Earth Observation,LEO,0,396,404,0.000591,89,93.4,480,3/17/2002,5,460,,,
"Gravity Recovery and Climate Experiment (Grace 2, ""Tom and Jerry"")",Germany/USA,Civil,Earth Observation,LEO,0,396,404,0.000591,89,93.4,480,3/17/2002,5,461,,,
Cassiope,Canada,Government,Earth Science,LEO,0,325,1486,0.0798,81,103.11,490,9/29/2013,2,462,,,
ASNARO-1,Japan,Government,Earth Observation,LEO,0,506,507,7.27E-05,97.48,94.75,500,11/6/2014,3,463,,,
AIST-2D,Russia,Civil,Technology Development,LEO,0,471,486,0.0011,97.28,94.18,531,4/27/2016,,464,,,
Jason 2,USA/France,Government,Earth Observation,LEO,0,1332,1344,0.000778,66,112.4,553,6/20/2008,5,465,,,
Jason 3,USA/France,Government,Earth Observation,LEO,0,1301,1324,0.0015,66,111.8,553,1/17/2016,5,466,,,
EO-1,USA,Government,Earth Observation/Research,LEO,0,678,690,0.000851,98.1,98.4,572,11/21/2000,5,467,,,
Calipso,France/USA,Government,Earth Science,LEO,0,702,703,7.07E-05,98.2,98.8,587,4/28/2006,3,468,,,
Multispectral Thermal Imager (MTI),USA,Government/Military,Technology Development,LEO,0,461,478,0.00124,97.47,94.9,587,3/12/2000,3,469,,,
TIMED,USA,Government/Civil,Space Science,LEO,0,612,613,7.16E-05,74.1,97,587,12/7/2001,2,470,,,
GOES-3,USA,Civil,Communications,GEO,-101.44,35772,35800,0.000332,14.3,1436.08,627,6/16/1978,7,471,,,
MVL-300,Russia,Civil/Government,Space Science,LEO,0,469,487,0.00131,97.27,94,645,4/27/2016,3,472,,,
RBSP-A,USA,Government,Earth Observation,Elliptical,0,591,30534,0.683,10.03,539.06,648,8/30/2012,,473,,,
O3b FM03,United Kingdom,Commercial,Communications,MEO,0,8060,8071,0.000381,0.09,287.92,650,7/10/2014,,474,,,
O3b FM06,United Kingdom,Commercial,Communications,MEO,0,7831,7845,0.000493,0.12,281.15,650,7/10/2014,,475,,,
O3b FM07,United Kingdom,Commercial,Communications,MEO,0,7827,7844,0.000598,0.12,281.08,650,7/10/2014,,476,,,
O3b FM08,United Kingdom,Commercial,Communications,MEO,0,7815,7842,0.000951,0.12,280.87,650,7/10/2014,,477,,,
O3B FM09,United Kingdom,Commercial,Communications,MEO,0,8063,8068,0.000173,0.04,287.93,650,12/18/2014,,478,,,
O3B FM10,United Kingdom,Commercial,Communications,MEO,0,8063,8069,0.000208,0.04,287.93,650,12/18/2014,,479,,,
O3B FM11,United Kingdom,Commercial,Communications,MEO,0,8063,8069,0.000208,0.04,287.93,650,12/18/2014,,480,,,
O3B FM12,United Kingdom,Commercial,Communications,MEO,0,8063,8069,0.000208,0.04,287.93,650,12/18/2014,,481,,,
SMOS,ESA,Government,Earth Observation,LEO,0,759,760,7.01E-05,98.4,100,658,11/2/2009,3,482,,,
RBSP-B,USA,Government,Earth Observation,Elliptical,0,595,30657,0.683,10.04,541.4,666,8/30/2012,,483,,,
CartoSat 2,India,Government,Earth Observation,LEO,0,632,635,0.000214,97,97.4,680,1/10/2007,5,484,,,
CartoSat 2A,India,Military,Earth Observation,LEO,0,624,643,0.00136,97.9,97.4,680,4/28/2008,5,485,,,
Iridium 10,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,6/18/1997,8,486,,,
Iridium 11A,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,12/19/1998,8,487,,,
Iridium 12,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,6/18/1997,8,488,,,
Iridium 13,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,6/18/1997,8,489,,,
Iridium 14A,USA,Government/Commercial,Communications,LEO,0,708,711,0.000212,86.5,99,689,6/11/1999,8,490,,,
Iridium 15,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,7/9/1997,8,491,,,
Iridium 18,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,7/9/1997,8,492,,,
Iridium 19,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/27/1997,8,493,,,
Iridium 20A,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,12/19/1998,8,494,,,
Iridium 21A,USA,Government/Commercial,Communications,LEO,0,775,780,0.00035,86.4,100.4,689,6/11/1999,8,495,,,
Iridium 22,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,8/21/1997,8,496,,,
Iridium 23,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,8/21/1997,8,497,,,
Iridium 25,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,8/21/1997,8,498,,,
Iridium 3,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,8/19/1998,8,499,,,
Iridium 30,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/14/1997,8,500,,,
Iridium 31,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/14/1997,8,501,,,
Iridium 32,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/14/1997,8,502,,,
Iridium 34,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/27/1997,8,503,,,
Iridium 35,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/27/1997,8,504,,,
Iridium 37,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/27/1997,8,505,,,
Iridium 39,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,11/9/1997,8,506,,,
Iridium 40,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,11/9/1997,8,507,,,
Iridium 41,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,11/9/1997,8,508,,,
Iridium 42,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,12/8/1997,8,509,,,
Iridium 43,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,11/9/1997,8,510,,,
Iridium 45,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,12/20/1997,8,511,,,
Iridium 46,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,8/21/1997,8,512,,,
Iridium 47,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,12/20/1997,8,513,,,
Iridium 49,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,12/20/1997,8,514,,,
Iridium 5,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,5/5/1997,8,515,,,
Iridium 50,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,2/18/1998,8,516,,,
Iridium 51,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,3/25/1998,8,517,,,
Iridium 52,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,2/18/1998,8,518,,,
Iridium 53,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,2/18/1998,8,519,,,
Iridium 55,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,3/30/1998,8,520,,,
Iridium 56,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,2/18/1998,8,521,,,
Iridium 57,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,3/30/1998,8,522,,,
Iridium 58,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,3/30/1998,8,523,,,
Iridium 59,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,3/30/1998,8,524,,,
Iridium 6,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,5/6/1997,8,525,,,
Iridium 60,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,3/30/1998,8,526,,,
Iridium 61,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,3/25/1998,8,527,,,
Iridium 62,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,4/7/1998,8,528,,,
Iridium 64,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,4/7/1998,8,529,,,
Iridium 65,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,4/7/1998,8,530,,,
Iridium 66,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,4/7/1998,8,531,,,
Iridium 67,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,4/7/1998,8,532,,,
Iridium 68,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,4/7/1998,8,533,,,
Iridium 7,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,5/5/1997,8,534,,,
Iridium 70,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.3,100.4,689,5/17/1998,8,535,,,
Iridium 72,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,5/17/1998,8,536,,,
Iridium 74,USA,Government/Commercial,Communications,LEO,0,747,751,0.000281,86.5,99.8,689,5/17/1998,8,537,,,
Iridium 75,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,5/17/1998,8,538,,,
Iridium 76,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,8/19/1998,8,539,,,
Iridium 77,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,9/8/1998,8,540,,,
Iridium 8,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,5/5/1997,8,541,,,
Iridium 80,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/8/1998,8,542,,,
Iridium 81,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/8/1998,8,543,,,
Iridium 82,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,9/8/1998,8,544,,,
Iridium 83,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,11/6/1998,8,545,,,
Iridium 84,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,11/6/1998,8,546,,,
Iridium 86,USA,Government/Commercial,Communications,LEO,0,776,780,0.00028,86.4,100.4,689,11/6/1998,8,547,,,
Iridium 90,USA,Government/Commercial,Communications,LEO,0,777,778,7.00E-05,86.4,100.4,689,2/11/2002,8,548,,,
Iridium 91,USA,Government/Commercial,Communications,LEO,0,744,753,0.000632,86.4,99.8,689,2/11/2002,8,549,,,
Iridium 94,USA,Government/Commercial,Communications,LEO,0,773,782,0.00063,86.4,100.4,689,2/11/2002,8,550,,,
Iridium 95,USA,Government/Commercial,Communications,LEO,0,776,779,0.00021,86.4,100.4,689,2/11/2002,8,551,,,
Iridium 96,USA,Government/Commercial,Communications,LEO,0,745,754,0.000632,87.2,99.8,689,2/11/2002,8,552,,,
Iridium 97,USA,Government/Commercial,Communications,LEO,0,777,778,7.00E-05,86.4,100.4,689,6/20/2002,8,553,,,
Iridium 98,USA,Government/Commercial,Communications,LEO,0,748,750,0.00014,86.4,99.8,689,6/20/2002,8,554,,,
CartoSat 2B,India,Government,Earth Observation,LEO,0,622,645,0.00164,97.9,97.4,694,7/12/2010,5,555,,,
Meteosat 7,Multinational,Government/Civil,Earth Observation,GEO,-57.85,35770,35797,0.00032,4.71,1435.96,696,9/2/1997,5,556,,,
Galileo IOV-1 FM2,ESA,Commerical,Navigation/Global Positioning,MEO,0,23242,23307,0.0011,54.67,846.98,700,10/21/2011,12,557,,,
Galileo IOV-1 PFM,ESA,Commercial,Navigation/Global Positioning,MEO,0,23240,23306,0.00111,54.68,846.88,700,10/21/2011,12,558,,,
Galileo IOV-2 FM3,ESA,Commercial,Navigation/Global Positioning,MEO,0,23214,23233,0.000321,55.34,844.76,700,10/12/2012,12,559,,,
Galileo IOV-2 FM4,ESA,Commercial,Navigation/Global Positioning,MEO,0,23217,23227,0.000169,55.3,844.69,700,10/12/2012,12,560,,,
Globalstar M073,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,10/19/2010,15,561,,,
Globalstar M074,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,52,114.1,700,10/19/2010,15,562,,,
Globalstar M075,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,52,114.1,700,10/19/2010,15,563,,,
Globalstar M076,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,700,10/19/2010,15,564,,,
Globalstar M077,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,10/19/2010,15,565,,,
Globalstar M078,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,51.99,114.08,700,2/6/2013,15,566,,,
Globalstar M079,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,10/19/2010,15,567,,,
Globalstar M080,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,12/28/2011,15,568,,,
Globalstar M081,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,700,7/13/2011,15,569,,,
Globalstar M082,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,12/28/2011,15,570,,,
Globalstar M083,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,7/13/2011,15,571,,,
Globalstar M084,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,12/28/2011,15,572,,,
Globalstar M085,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,52,114.1,700,7/13/2011,15,573,,,
Globalstar M086,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,12/28/2011,15,574,,,
Globalstar M088,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,700,7/13/2011,15,575,,,
Globalstar M089,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,51.99,118.2,700,7/13/2011,15,576,,,
Globalstar M090,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,12/28/2011,15,577,,,
Globalstar M091,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,52,114.1,700,7/13/2011,15,578,,,
Globalstar M092,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,52,114.1,700,12/28/2011,15,579,,,
Globalstar M093,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,51.98,113.35,700,2/6/2013,15,580,,,
Globalstar M095,USA,Commercial,Communications,LEO,0,1413,1414,6.42E-05,51.98,114.08,700,2/6/2013,15,582,,,
Globalstar M097,USA,Commercial,Communications,LEO,0,1370,1391,0.00135,52.01,113.96,700,2/6/2013,15,584,,,
Hinode,Multinational,Government,Space Science,LEO,0,670,696,0.00184,98.1,98.4,700,10/22/2006,3,585,,,
O3b FM02,United Kingdom,Commercial,Communications,MEO,0,8063,8069,0.000208,0.03,287.93,700,6/25/2013,,586,,,
O3b FM04,United Kingdom,Commercial,Communications,MEO,0,8062,8069,0.000242,0.04,287.93,700,6/25/2013,,587,,,
O3b FM05,United Kingdom,Commercial,Communications,MEO,0,8064,8068,0.000139,0.03,287.94,700,6/25/2013,,588,,,
O3b PFM,United Kingdom,Commercial,Communications,MEO,0,8063,8069,0.000208,0.03,287.93,700,6/25/2013,,589,,,
Spot 7,France/Belgium/Sweden,Commercial,Earth Observation,LEO,0,643,660,0.00121,98.2,97.77,714,6/30/2014,10,590,,,
Cryosat-2,ESA,Government,Earth Observation,LEO,0,713,724,0.000776,92,99.2,720,4/8/2010,3,591,,,
Spot 6,France/Belgium/Sweden,Commercial,Earth Observation,LEO,0,696,699,0.000212,98.2,98.73,720,9/9/2012,10,592,,,
Galileo FOC FM10,ESA,Commercial,Navigation/Global Positioning,MEO,0,23272,23280,0.000135,57.4,847.01,723,5/24/2016,12,593,,,
Galileo FOC FM11,ESA,Commercial,Navigation/Global Positioning,MEO,0,23483,23530,0.000787,57.4,856.9,723,5/24/2016,12,594,,,
Galileo FOC FM3,ESA,Commercial,Navigation/Global Positioning,MEO,0,23516,23574,0.000969,55,858.55,723,3/27/2015,12,595,,,
Galileo FOC FM4,ESA,Commercial,Navigation/Global Positioning,MEO,0,23353,23382,0.000488,55.1,850.5,723,3/27/2015,12,596,,,
Galileo FOC FM5,ESA,Commercial,Navigation/Global Positioning,MEO,0,23218,23240,0.000372,57.1,845,723,9/11/2015,12,597,,,
Galileo FOC FM6,ESA,Commercial,Navigation/Global Positioning,MEO,0,23220,23239,0.000321,57.1,844,723,9/11/2015,12,598,,,
Galileo FOC FM8,ESA,Commercial,Navigation/Global Positioning,MEO,0,23550,23618,0.00114,54.96,860.51,723,12/17/2015,12,599,,,
Galileo FOC FM9,ESA,Commercial,Navigation/Global Positioning,MEO,0,23551,23568,0.000284,54.95,858.34,723,12/17/2015,12,600,,,
CartoSat 2C,India,Government,Earth Observation,LEO,0,501,519,0.00131,97.5,94.8,727,6/22/2016,5,601,,,
Galileo FOC FM1,ESA,Commercial,Navigation/Global Positioning,MEO,0,17231,25971,0.156,49.78,776.25,733,8/22/2014,12,602,,,
Galileo FOC FM2,ESA,Commercial,Navigation/Global Positioning,MEO,0,13810,25918,0.231,49.77,705.11,733,8/22/2014,12,603,,,
Theos,Thailand,Government,Earth Observation,LEO,0,824,826,0.000139,98.7,101.4,750,10/1/2008,5,604,,,
Formosat-2,Taiwan,Government/Military,Earth Observation,LEO,0,890,893,0.000207,99,102.8,764,5/21/2004,5,605,,,
SAR-Lupe 1,Germany,Military,Earth Observation,LEO,0,468,505,0.0027,98.2,94.3,770,12/19/2006,10,606,,,
SAR-Lupe 2,Germany,Military,Earth Observation,LEO,0,470,503,0.00241,98.19,94.34,770,7/2/2007,10,607,,,
SAR-Lupe 3,Germany,Military,Earth Observation,LEO,0,473,496,0.00168,98.17,94.3,770,11/1/2007,10,608,,,
SAR-Lupe 4,Germany,Military,Earth Observation,LEO,0,448,486,0.00278,98.16,94.4,770,3/27/2008,10,609,,,
SAR-Lupe 5,Germany,Military,Earth Observation,LEO,0,474,502,0.00204,98.16,94.37,770,7/22/2008,10,610,,,
Beidou 3M-1S,China,Military/Government,Navigation/Global Positioning,MEO,0,21520,21549,0.00052,55,773.2,800,7/25/2015,5,611,,,
Beidou 3M-2S,China,Military/Government,Navigation/Global Positioning,MEO,0,21521,21550,0.00052,55,773.3,800,7/25/2015,5,612,,,
Beidou 3M-3S,China,Military/Government,Navigation/Global Positioning,MEO,0,21524,21532,0.000143,55,773.2,800,2/1/2016,5,613,,,
Kompsat-2,South Korea,Government/Commercial,Earth Observation/Technology Development,LEO,0,676,698,0.00156,98.2,98.5,800,7/28/2006,3,614,,,
Coriolis,USA,Military,Earth/Space Science,LEO,0,820,841,0.00146,98.8,101.5,817,1/6/2003,3,615,,,
Cosmos 2463,Russia,Military,Communications,LEO,0,968,1022,0.00367,83,105,820,4/27/2010,3-Feb,616,,,
Cosmos 2407,Russia,Military,Communications,LEO,0,949,1008,0.00401,83,104.7,825,7/22/2004,3-Feb,617,,,
Cosmos 2414,Russia,Military,Communications,LEO,0,907,968,0.00417,83,103.8,825,1/20/2005,3-Feb,618,,,
KazEOSat-1,Kazakhstan,Government,Earth Observation,LEO,0,751,754,0.000211,98.53,99.87,830,4/30/2014,7.25,619,,,
Cloudsat,USA,Government/Civil,Earth Observation,LEO,0,702,703,7.07E-05,98.2,98.8,848,4/28/2006,2,620,,,
IGS-3A,Japan,Government,Earth Observation,LEO,0,484,492,0.000583,97.3,94.37,850,9/11/2006,5,621,,,
VRSS-1,Venezuela,Government,Earth Observation,LEO ,0,622,654,0.00228,98.03,97.48,880,9/28/2012,5,622,,,
HJ-1C,China,Government,Earth Observation,LEO,0,420,438,0.00132,97.33,94.53,890,11/18/2012,3,623,,,
Cosmos 2517,Russia,Military,Earth Science,LEO,0,935,963,0.00191,99.27,104.03,900,6/5/2016,5,624,,,
Cosmos 2471,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19116,19146,0.000588,64.77,675.78,935,2/26/2011,10,625,,,
Cosmos 2501,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19103,19178,0.00147,64.83,676.15,935,12/1/2014,10,626,,,
Luch 5A,Russia,Government,Communications,GEO,,35778,35793,0.000178,4.85,1436.8,950,12/11/2011,,627,,,
Oceansat-2,India,Government,Earth Observation,LEO,0,722,724,0.000141,98.3,99.2,960,9/23/2009,5,628,,,
Pléiades HR1B ,France,Government,Earth Observation,LEO,0,678,691,0.000921,98.5,98.45,970,12/2/2012,5,629,,,
Geomagnetic Tail Laboratory (Geotail),Multinational,Government,Space Science,Elliptical,0,49551,191451,0.559,9.39,2474.83,980,7/24/1992,,630,,,
Kompsat-3,South Korea,Government/Commercial,Earth Observation,LEO,0,679,696,0.0012,98.2,98.5,980,5/17/2012,4,631,,,
Kompsat-3A,South Korea,Government/Commercial,Earth Observation,LEO,0,522,540,0.0013,97.5,95.25,980,3/25/2015,4,632,,,
Gaofen 1,China,Government,Earth Observation,LEO,0,630,654,0.00171,98.07,97.56,1000,4/26/2013,8-May,633,,,
Gaofen 2,China,Government,Earth Observation,LEO,0,620,636,0.00114,98.02,97.06,1000,8/19/2014,8-May,634,,,
Gaofen 8,China,Government,Earth Observation,LEO,0,484,492,0.000583,97.3,94.36,1000,6/26/2015,8-May,635,,,
Gaofen 9,China,Government,Earth Observation,LEO,0,618,664,0.00328,98.01,97.54,1000,9/14/2015,8-May,636,,,
Megha-Tropiques,India/France,Government,Earth Observation,LEO,0,853,868,0.00104,20,102.2,1000,10/12/2011,5,637,,,
Pléiades HR1A ,France/Italy,Government,Earth Observation,LEO,0,697,699,0.000141,98.2,98.7,1000,12/17/2011,5,638,,,
USA 216,USA,Military,Space Observation,LEO,0,631,634,0.000214,98.02,97.36,1031,9/26/2010,,639,,,
Yaogan 15,China,Military,Earth Observation,LEO,0,1201,1207,0.000396,100.2,109.5,1040,5/29/2012,,640,,,
Yaogan 28,China,Military,Earth Observation,LEO,0,460,482,0.00161,97.24,94.02,1040,11/8/2015,,641,,,
Yaogan 29,China,Military,Earth Observation,LEO,0,628,629,7.14E-05,97.85,97.28,1040,11/26/2015,,642,,,
Kalpana-1,India,Government,Earth Observation,GEO,74.07,35783,35789,7.12E-05,0.04,1436.08,1060,9/12/2002,7-May,643,,,
USA 131,USA,Military,Earth Observation,LEO,0,842,855,0.0009,98.9,101.9,1134,4/4/1997,5,644,,,
Luch 5V,Russia,Government,Communications,GEO,95,35767,35802,0.000415,4.76,1435.99,1148,4/28/2014,10,645,,,
Cosmos 2487,Russia,Military,Earth Observation,LEO,0,497,501,0.000291,74.73,94.6,1150,6/27/2013,,646,,,
USA 147,USA,Military,Earth Observation,LEO,0,837,851,0.00097,98.9,101.8,1152,12/12/1999,5,647,,,
USA 172,USA,Military,Earth Observation,LEO,0,843,852,0.000623,98.9,101.87,1154,10/18/2003,5,648,,,
USA 173,USA,Military,Earth Observation,LEO,0,842,855,0.0009,98.79,101.89,1154,11/4/2006,5,649,,,
USA 210,USA,Military,Earth Observation,LEO,0,842,859,0.00118,98.93,101.94,1155,10/18/2009,5,650,,,
USA 167,USA,Military,Communications,GEO,60.01,35771,35802,0.000368,0.03,1436.12,1156,3/11/2003,10,651,,,
USA 170,USA,Military,Communications,GEO,-52.51,35760,35814,0.00064,0.05,1436.1,1156,8/29/2003,10,652,,,
USA 135,USA,Military,Communications,GEO,-130.05,35757,35817,0.000712,2.54,1436.1,1156,10/24/1997,10,653,,,
USA 148,USA,Military,Communications,GEO,-135.11,35706,35868,0.00192,0.01,1436.13,1156,1/1/2000,10,654,,,
USA 153,USA,Military,Communications,GEO,-12.15,35774,35799,0.000297,0.04,1436.12,1156,10/20/2000,10,655,,,
USA 113,USA,Military,Communications,GEO,-52.4,35784,35784,0,0,1436.1,1156,7/31/1995,10,656,,,
Rumba,ESA,Government,Space Science,Elliptical,0,17240,120715,0.687,90.8,3431.1,1200,8/9/2000,4,657,,,
